1392343181,16102220.61,0.7018
1395747805,13454060.69,0.1858175
1396018379,11833327.73,0.1984234
1396256087,11549259.33,0.2
1400256247,11368863.04,0.2157
1401678584,15987724.2,0.1556
1403343220,10666465.07,0.0036
1407435181,14951439.91,1.1841
1407854353,10215147.03,0.0219
1407869316,10299824.18,0.0273
1408016532,12531328.32,0.0399
1408456801,11661807.58,0.0343
1408859372,12747130.22,0.1661
1412141132,9518117,0.03
1412942087,9377344.34,0.1333
1427992031,6081442.26,0.5
1428047292,6140067.2,0.5
1431402199,5294533.33,0.0006
1432200280,5555555.56,0.18
1434105236,4791929.38,0.3965
1434476109,5016302.98,0.3987
1435927910,6039497.01,0.4513
1438065613,7051573.52,0.5
1438181963,6020469.6,0.1661
1438260641,5999232.1,4.1672
1438304056,6218132.07,1.6082
1439608710,6469501.43,0.2164
1439883082,6196377.5,0.4196
1440153556,5179908.88,0.78
1440388083,4974591.13,0.3516
1441006747,5022576.77,1.6196
1441613111,5009292.1,10
1442197484,5640157.92,0.1773
1442317930,5696100,0.2
1442387348,5664526.89,0.2008
1442423509,5596380.49,0.35
1442424469,5596380.49,0.35
1442822215,5578800.56,0.2868
1442922950,5615893.3,0.5
1443498088,5768897.95,5.2003
1443970330,5760368.66,0.0868
1444019019,5757052.39,0.1737
1444579884,5836575.88,0.0514
1444789325,6013229.1,0.1663
1445492598,5683901.72,0.5454
1445530975,5826358.3,0.23
1445917127,6976546.27,1.8
1445965624,7092198.58,0.0423
1446027339,7168743.73,1.8
1446627082,10533335.12,1.2724
1446641150,11340848.71,1.1818
1446645002,12161741.16,0.1358
1446692507,10289906.94,2.2352
1447048164,9103564.4,0.05
1447149682,9338345.09,1.9421
1447312230,7949125.6,0.1887
1447646142,7674144.04,0.1694
1447759168,7245463.79,13
1447932604,7379543.47,10
1448124167,7892659.83,0.1267
1448352276,7734412.18,0.8404
1448510825,7792713.81,0.5133
1448530223,7268815.29,5
1448696055,7714166.53,0.0995
1448847190,9088155.1,0.3301
1448868966,9209516.5,0.1303
1448875305,8323374.43,5
1448898711,8838383.84,0.0396
1448941353,8955223.88,0.0268
1448947630,8143322.48,0.0614
1448959309,9084027.25,0.1321
1448968210,8247921.73,9
1449062186,8305647.84,0.0602
1449063454,7604562.74,0.0263
1449129549,8883248.73,0.1576
1449316017,8339591.65,6.196
1449594148,9174311.93,0.0109
1449638090,9758477.68,0.4099
1449646928,9803921.57,0.051
1449650873,8913248.71,4.855
1449657805,9827696.23,0.7835
1449680820,9558401.84,0.5231
1449685745,9677419.35,0.0403
1449723433,9629272.99,0.4154
1449730894,9560229.45,0.1046
1449744536,9611687.81,0.2601
